2025-04-30 16:46:50,491 - INFO - D:\my_projects\quantify\global_data\day_data
2025-04-30 16:46:52,364 - INFO - NOW: 000001 -> sz000001, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:46:53,799 - INFO - NOW: 000002 -> sz000002, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:46:55,243 - INFO - NOW: 000004 -> sz000004, 存储日期到：20250428 || 获取更新开始日期：20250429，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:46:57,314 - INFO - NOW: 000006 -> sz000006, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:46:58,760 - INFO - NOW: 000007 -> sz000007, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:46:58,761 - INFO - 000008 数据已是最新，跳过
2025-04-30 16:47:00,249 - INFO - NOW: 000009 -> sz000009, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:01,432 - INFO - NOW: 000010 -> sz000010, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:01,433 - INFO - 000011 数据已是最新，跳过
2025-04-30 16:47:03,075 - INFO - NOW: 000012 -> sz000012, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:04,601 - INFO - NOW: 000014 -> sz000014, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:05,973 - INFO - NOW: 000016 -> sz000016, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:07,383 - INFO - NOW: 000017 -> sz000017, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:08,835 - INFO - NOW: 000019 -> sz000019, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:10,267 - INFO - NOW: 000020 -> sz000020, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:11,666 - INFO - NOW: 000021 -> sz000021, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:13,070 - INFO - NOW: 000025 -> sz000025, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:14,340 - INFO - NOW: 000026 -> sz000026, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:15,843 - INFO - NOW: 000027 -> sz000027, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:17,249 - INFO - NOW: 000028 -> sz000028, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:18,574 - INFO - NOW: 000029 -> sz000029, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:20,073 - INFO - NOW: 000030 -> sz000030, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:21,760 - INFO - NOW: 000031 -> sz000031, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:23,671 - INFO - NOW: 000032 -> sz000032, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:25,194 - INFO - NOW: 000034 -> sz000034, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:26,545 - INFO - NOW: 000035 -> sz000035, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:28,024 - INFO - NOW: 000036 -> sz000036, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:29,518 - INFO - NOW: 000037 -> sz000037, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:31,182 - INFO - NOW: 000039 -> sz000039, 存储日期到：20250429 || 获取更新开始日期：20250430，结束日期为：20250430，增加记录为：1条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:31,845 - INFO - 000040 获取数据失败，跳过
2025-04-30 16:47:33,125 - INFO - NOW: 000042 -> sz000042, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:34,910 - INFO - NOW: 000045 -> sz000045, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:37,088 - INFO - NOW: 000048 -> sz000048, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
2025-04-30 16:47:39,547 - INFO - NOW: 000049 -> sz000049, 存储日期到：20250425 || 获取更新开始日期：20250426，结束日期为：20250430，增加记录为：3条, 数据更新完毕，记录日期：20250430
