代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj430017,星昊医药,17.55,0.49,2.872,17.55,17.56,17.06,17.13,17.66,17.13,2201822.0,38520623.0,11:34:57
bj430047,诺思兰德,17.76,-0.29,-1.607,17.72,17.76,18.05,18.03,18.59,17.56,5304999.0,95692853.0,11:34:57
bj430090,同辉信息,5.87,0.05,0.859,5.87,5.88,5.82,5.79,5.95,5.72,1857561.0,10901493.0,11:34:57
bj430139,华岭股份,23.61,-0.33,-1.378,23.61,23.62,23.94,23.11,23.99,23.1,2709488.0,63861567.0,11:34:57
bj430198,微创光电,11.18,0.08,0.721,11.14,11.15,11.1,10.72,11.4,10.72,2109049.0,23508831.0,11:34:57
bj430300,辰光医疗,15.39,-0.36,-2.286,15.38,15.39,15.75,15.34,15.87,15.15,2414163.0,37420971.0,11:34:57
bj430418,苏轴股份,38.26,0.89,2.382,38.25,38.26,37.37,37.51,38.95,37.51,2844188.0,108836097.0,11:34:57
bj430425,乐创技术,27.89,0.6,2.199,27.82,27.89,27.29,26.61,28.18,26.46,3253651.0,89262916.0,11:34:57
bj430476,海能技术,14.24,0.64,4.706,14.25,14.27,13.6,14.0,14.63,13.98,2210129.0,31629823.0,11:34:57
bj430478,峆一药业,26.15,2.0,8.282,26.15,26.19,24.15,25.37,26.33,25.05,4472919.0,114560252.0,11:34:57
bj430489,佳先股份,23.12,0.28,1.226,23.13,23.14,22.84,22.58,23.45,22.58,2575282.0,59612485.0,11:34:57
bj430510,丰光精密,19.91,0.21,1.066,19.89,19.91,19.7,19.33,20.25,19.28,1176600.0,23479423.0,11:34:57
bj430556,雅达股份,10.61,0.01,0.094,10.61,10.63,10.6,10.4,10.8,10.35,2643490.0,28076379.0,11:34:57
bj430564,天润科技,21.2,0.31,1.484,21.2,21.26,20.89,20.79,21.36,20.58,790702.0,16641695.0,11:34:57
bj430685,新芝生物,13.93,0.59,4.423,13.93,13.96,13.34,13.48,14.2,13.42,1948041.0,27161614.0,11:34:57
